h0 [SinglePointCrossover,BitFlipMutation] 8255
h1 [SinglePointCrossover,LoopMoveOperator] 8320
h2 [SinglePointCrossover,LocalMoveOperator] 8258
h3 [SinglePointCrossover,SegmentMutation] 8237
h4 [SinglePointCrossover,OppositeMoveOperator] 8307
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8378
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8328
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8441
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8243
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8321
h10 [MultiPointsCrossover,BitFlipMutation] 8309
h11 [MultiPointsCrossover,LoopMoveOperator] 8267
h12 [MultiPointsCrossover,LocalMoveOperator] 8280
h13 [MultiPointsCrossover,SegmentMutation] 8394
h14 [MultiPointsCrossover,OppositeMoveOperator] 8412
