h0 [SinglePointCrossover,BitFlipMutation] 16619
h1 [SinglePointCrossover,LoopMoveOperator] 16556
h2 [SinglePointCrossover,LocalMoveOperator] 16698
h3 [SinglePointCrossover,SegmentMutation] 16777
h4 [SinglePointCrossover,OppositeMoveOperator] 16685
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16778
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16597
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16621
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16734
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16644
h10 [MultiPointsCrossover,BitFlipMutation] 16685
h11 [MultiPointsCrossover,LoopMoveOperator] 16816
h12 [MultiPointsCrossover,LocalMoveOperator] 16747
h13 [MultiPointsCrossover,SegmentMutation] 16511
h14 [MultiPointsCrossover,OppositeMoveOperator] 16532
